"District","year","month","שלום","מלחמה","בחירות","אזעקה","טרור","הפסקת אש","נתניהו","חמאס","ליכוד","ממשלה","alert"
"Center District",2014,1,72,32,2,4,0,0,16,4,0,21,0
"Center District",2014,2,66,44,1,11,0,0,12,0,0,12,0
"Center District",2014,3,72,51,2,9,0,0,14,0,0,15,0
"Center District",2014,4,62,54,0,5,0,0,10,0,0,14,0
"Center District",2014,5,74,50,1,6,0,0,19,0,0,25,0
"Center District",2014,6,67,48,1,0,0,0,7,5,0,0,0
"Center District",2014,7,72,100,1,100,100,70,20,100,0,14,0.547222155211927
"Center District",2014,8,61,75,1,25,51,40,17,40,0,21,0.768306274576026
"Center District",2014,9,76,34,1,7,49,18,8,7,0,17,0.0454104648638217
"Center District",2014,10,67,35,2,7,0,0,9,5,0,18,0
"Center District",2014,11,65,42,4,7,0,0,13,5,0,24,0
"Center District",2014,12,69,30,11,6,0,0,21,5,41,19,0
"Center District",2015,1,77,36,17,5,48,0,22,3,33,19,0
"Center District",2015,2,68,41,23,5,44,0,47,0,32,26,0
"Center District",2015,3,72,42,60,7,0,0,64,5,56,48,0.257291440749088
"Center District",2015,4,73,40,3,8,0,0,19,0,0,20,0
"Center District",2015,5,74,33,3,9,0,0,19,3,0,27,0.000975963941196994
"Center District",2015,6,67,24,3,8,31,0,10,4,0,18,0
"Center District",2015,7,63,32,1,9,0,0,14,4,14,17,0
"Center District",2015,8,72,27,1,7,0,0,8,4,0,0,0
"Center District",2015,9,82,28,1,7,0,0,17,4,0,17,0.000975963941196994
"Center District",2015,10,72,31,3,6,61,0,22,8,0,20,0
"Center District",2015,11,63,22,2,0,74,0,14,4,0,18,0
"Center District",2015,12,78,32,2,6,60,0,18,2,13,27,0
"Center District",2016,1,71,28,2,5,38,0,15,3,7,17,0
"Center District",2016,2,80,32,2,9,29,0,14,3,8,16,0
"Center District",2016,3,74,32,1,8,40,0,14,4,0,15,0
"Center District",2016,4,71,33,1,5,25,0,9,4,0,17,0
"Center District",2016,5,84,38,2,5,26,0,21,4,7,28,0
"Center District",2016,6,75,25,2,6,35,0,15,3,7,17,0.00165687464520268
"Center District",2016,7,75,24,1,5,37,0,22,2,0,20,0
"Center District",2016,8,65,49,1,6,22,0,11,2,0,12,0
"Center District",2016,9,90,53,2,11,20,0,21,3,7,22,0.896087652822456
"Center District",2016,10,74,42,3,6,26,0,14,2,0,17,0
"Center District",2016,11,75,28,8,5,23,0,26,1,0,28,0
"Center District",2016,12,67,27,2,6,20,0,26,1,5,21,0.123421007693621
"Center District",2017,1,73,27,2,6,25,0,31,3,10,29,0
"Center District",2017,2,69,22,1,8,18,0,25,4,7,18,0.196899406601675
"Center District",2017,3,67,25,2,5,23,0,18,3,5,17,0.04156051943066
"Center District",2017,4,64,31,3,4,25,0,15,2,0,18,0
"Center District",2017,5,73,23,5,5,20,0,21,3,6,18,0
"Center District",2017,6,71,26,3,3,21,0,14,2,8,16,0
"Center District",2017,7,64,28,2,5,19,0,21,3,8,13,0
"Center District",2017,8,72,22,1,9,20,0,31,2,10,16,0.310466800343897
"Center District",2017,9,73,23,2,5,19,0,36,1,6,16,0
"Center District",2017,10,80,25,2,6,38,0,24,3,6,23,0
"Center District",2017,11,73,22,2,17,18,0,26,2,7,25,0
"Center District",2017,12,73,24,2,5,18,0,23,3,10,20,0
"Center District",2018,1,73,18,2,7,25,0,90,2,6,23,0
"Center District",2018,2,72,23,2,6,21,0,53,2,7,34,0.0448113585139936
"Center District",2018,3,65,25,3,9,24,0,38,3,9,21,0
"Center District",2018,4,78,38,2,7,23,0,32,3,6,30,0
"Center District",2018,5,73,34,3,6,34,0,27,4,4,22,0
"Center District",2018,6,73,17,3,5,33,0,27,3,6,14,0
"Center District",2018,7,65,20,4,6,24,0,24,4,7,15,0
"Center District",2018,8,75,18,7,5,27,0,24,5,6,18,0
"Center District",2018,9,73,21,9,3,23,0,27,3,10,18,0
"Center District",2018,10,79,20,92,5,28,0,46,5,15,22,0.0821429651463753
"Center District",2018,11,79,27,30,6,16,10,35,14,9,27,0.000230809871369081
"Center District",2018,12,75,20,6,6,36,0,44,4,13,27,0.2670772621591
"Center District",2019,1,81,23,11,4,23,0,45,4,36,26,0
"Center District",2019,2,73,21,19,4,22,0,53,2,100,32,0
"Center District",2019,3,75,21,30,31,28,7,87,7,26,35,0.22996390491318
"Center District",2019,4,63,21,93,5,29,0,92,2,63,77,0
"Center District",2019,5,78,45,8,21,32,22,43,8,10,43,0.184758502101977
"Center District",2019,6,71,23,10,5,26,0,41,4,8,29,0
"Center District",2019,7,70,17,10,4,16,0,36,4,8,19,0
"Center District",2019,8,76,18,17,5,22,0,52,5,15,20,0
"Center District",2019,9,83,24,100,6,24,0,100,3,51,84,0
"Center District",2019,10,77,23,5,4,22,0,60,2,13,42,0
"Center District",2019,11,79,30,6,23,30,17,69,7,12,45,0.288818390748328
"Center District",2019,12,71,20,11,3,19,0,52,4,36,31,0
"Center District",2020,1,77,21,11,4,17,0,46,3,10,23,0
"Center District",2020,2,77,19,26,5,22,0,55,5,23,27,0
"Center District",2020,3,63,23,51,2,27,0,77,2,26,81,0
"Center District",2020,4,73,37,4,4,18,0,57,2,7,48,0
"Center District",2020,5,68,27,2,3,21,0,64,2,10,49,0
"Center District",2020,6,70,21,2,5,16,0,34,2,7,26,0
"Center District",2020,7,71,19,2,4,19,0,59,3,11,47,0
"Center District",2020,8,90,16,4,5,15,0,54,3,10,31,0
